,rf_importance,fea
22,9.907443736655681,3-OH Butyl carnitine
50,8.113929513266651,C4OH
39,8.098666268666976,beta-Hydroxybutyric acid
27,7.725653466479784,C10:0 carnitine
51,6.445439181907385,C6
28,6.187996963275563,C12:0 carnitine
61,5.852391230529823,C14:1
25,4.789768903380726,C6:0 carnitine
26,4.251539751013009,C8:0 carnitine
52,4.038629207488158,C8
2,3.6973984068987265,FA(10:1)
60,3.0555743801176067,C14:2
57,2.295574485223213,C10
9,2.166300446720964,FA(17:0)
56,1.9279754786146097,C10:1
29,1.523261595653757,C14:0 carnitine
11,1.3297351604948788,FA(18:1)
59,1.2149740205194741,C12
21,1.128449474331364,Succinyl carnitine
6,1.070318812551021,FA(15:0)
58,0.8606243801032181,C12:1
30,0.7706744318292001,C16:1 3-OH carnitine
69,0.7379757289309575,C18:1
32,0.6987249049340203,C18:1 carnitine
0,0.6603761052020038,FA(08:0)
17,0.6500081818706794,Propionyl carnitine
5,0.6492135260891331,FA(14:0)
18,0.6335464758750018,Butyryl carnitine
7,0.6070214296520154,FA(16:0)
1,0.48689805660546864,FA(10:0)
14,0.4764842078029885,FA(22:1)
64,0.4339919860379433,C14:1OH
48,0.4261112530320443,C4
3,0.40192293030569337,FA(12:0)
47,0.39037461575735066,C4:1
66,0.3716214416694773,C16:1
8,0.3304445121338298,"FA(16:1, 9Z)"
10,0.32514540826991717,FA(18:0)
54,0.32504122821794834,C7DC
45,0.3091068550025905,C2
40,0.2941630133152775,Citric acid
63,0.2675252687584024,C12DC
37,0.23941420176967723,Tyrosine
38,0.22670891115929057,Lactic acid
42,0.22571786331410662,Pyruvic acid
53,0.2185799988608854,C9
15,0.21510792921864663,FA(22:4)
16,0.20462503367400026,FA(24:1)
23,0.20417467593381056,2-Methylbutyryl carnitine
4,0.1962327399288037,FA(13:0)
46,0.1921731676588182,C3
49,0.18625277156383319,C5
43,0.17844755657607375,Hippuric acid
19,0.16690137849560455,Isobutyryl carnitine
13,0.15751608407379755,FA(20:5)
35,0.12987775336712049,Methionine
36,0.12487197232302119,Methionine-sulfoxide
12,0.1121373121706538,FA(19:0)
62,0.1108535547601308,C14
24,0.10599823051347851,Isovelaryl carnitine
55,0.10130238664299865,C10:2
68,0.0989282115729884,C18:2
44,0.0963648873658516,Methylmalonic acid
67,0.09080454677480579,C16
70,0.08486477027917667,C18
41,0.0785741767052256,p-Hydroxyhippuric acid
20,0.07704932138704167,Methylmalonyl carnitine
65,0.07574142200534298,C16:2
33,0.07465715984795579,C18:2 carnitine
31,0.055313659347519695,C16:0 carnitine
34,0.04279189752480054,C20:4 carnitine
